Entity,Entity Type,Count,Example Sentence,First Level,Second Level,Third Level,Mapped Entity,Similarity
measuring up to 2 mm in thickness,descriptor,2,"trace left frontotemporal subdural hematoma appears minimally smaller , measuring up to 2 mm in thickness .",size,numeric,numeric,,
maximal thickness of 1.6 cm,descriptor,2,remainder of large right subdural collection relatively isodense to cerebral spinal fluid ( previously hyper dense ) with maximal thickness of 1 . 6 cm whereas previously hyperdense subdural hematoma measured up to 2 . 5 cm .,size,numeric,numeric,,
maximal thickness of 3 mm,descriptor,2,interval development of hypodense broad-based left hemispheric subdural collection suggestive of posttraumatic hygroma with maximal thickness of 3 mm .,size,numeric,numeric,,
2 x 0.8 cm,descriptor,2,anterior lateral aspect of the right temporal lobe hemorrhagic contusions and small subdural collections minimally larger than on the prior exam measuring up to 2 x 0 . 8 cm and 0 . 8 cm ( versus prior 1 . 9 x 0 . 7 cm and 0 . 7 cm ) .,size,numeric,numeric,,
measuring up to 15 mm,descriptor,2,"three calcified lesions along the tentorium , measuring up to 15 mm ( series 2 / image 10 ) , compatible with calcified meningiomas .",size,numeric,numeric,,
1.4 x 1.4 cm,descriptor,2,there is a lesion in the superior left parietal region measuring 1 . 4 x 1 . 4 cm .,size,numeric,numeric,,
1.3 x 1.6 cm,descriptor,2,"negative for hemorrhage , acute infarction , mass lesion , or hydrocephalus . 1 . 3 x 1 . 6 cm fluid attenuation focus in the left cerebellar hemisphere is compatible with a remote lacunar infarction .",size,numeric,numeric,,
7 x 5 mm,descriptor,2,an adjacent focus of slightly less well-defined hemorrhage measures 7 x 5 mm .,size,numeric,numeric,,
21 x 15 mm,descriptor,2,it measures 21 x 15 mm .,size,numeric,numeric,,
7.4 cm,descriptor,2,on the current study this area measures approximately 7 . 4 cm ap x 14 mm in with .,size,numeric,numeric,,
2.9 x 3.4 cm,descriptor,2,"3 . 0 x 3 . 2 cm of parenchymal hemorrhage in the posterior left temporal lobe ( series 2 / image 18 ) , grossly unchanged ( previously 2 . 9 x 3 . 4 cm ) .",size,numeric,numeric,,
1.6 x 2.2 cm,descriptor,2,maximal dimensions are currently estimated to be approximately 1 . 6 x 2 . 2 cm .,size,numeric,numeric,,
21 x 14 mm,descriptor,2,"pituitary mass again visualized , measuring approximately 21 x 14 mm , grossly unchanged .",size,numeric,numeric,,
1.3 x 1.1 cm,descriptor,2,measures 1 . 3 x 1 . 1 cm on image 11 . 1 . 1 x 0 . 8 cm at the same level on the prior exam ( when remeasured ) .,size,numeric,numeric,,
2.8 x 2.1 cm,descriptor,2,2 . 8 x 2 . 1 cm hemorrhage is identified within the paramedian aspect of the right cerebellar hemisphere .,size,numeric,numeric,,
previously 0.7 cm,descriptor,2,"there 1 . 6 cm of right to left midline shift , previously 0 . 7 cm by my measurement .",size,numeric,numeric,,
1.9 x 1.3 cm,descriptor,2,"scalp hematoma is identified measuring 1 . 9 x 1 . 3 cm , image 15 / series 3 .",size,numeric,numeric,,
3.6 x 3.4 cm,descriptor,2,again appreciated is the left basal ganglia hemorrhage which measures approximate 3 . 6 x 3 . 4 cm .,size,numeric,numeric,,
53 mm,descriptor,2,the biventricular diameter is markedly increased measuring 53 mm .,size,numeric,numeric,,
26 x 23 mm,descriptor,2,left alignment hematoma unchanged in size measuring 26 x 23 mm .,size,numeric,numeric,,
3.2 x 1.1 cm,descriptor,2,anterior left frontal lobe subdural hematoma without significant change measuring 3 . 2 x 1 . 1 cm .,size,numeric,numeric,,
1.1 x 1.5 cm,descriptor,2,a 1 . 1 x 1 . 5 cm high density structure with peripheral calcification in the right suprasellar / circle of willis region is suspicious for aneurysm .,size,numeric,numeric,,
1.3 x 0.6 cm,descriptor,2,a small ossific density along the outer cortical margin of the left side of the glabella measures 1 . 3 x 0 . 6 cm on image #4 of series #3 and may represent an osteoma or sessile osteochondroma .,size,numeric,numeric,,
volume = 95 cm^3,descriptor,2,"brain : hematoma in right basal ganglia measures 7 . 1 x 4 . 2 x 6 . 1 cm ( volume = 95 cm^3 ) series 3 , image 17 and series 6 , image 20 .",size,numeric,numeric,,
4.7 x 3.9 cm,descriptor,2,there is hemorrhage measures approximately 4 . 7 x 3 . 9 cm .,size,numeric,numeric,,
measuring up to 5 mm thickness,descriptor,2,"brain : left tentorial subdural hematoma measuring up to 5 mm thickness , extending to the inferior falx .",size,numeric,numeric,,
3.3 x 2.2 cm,descriptor,2,there is intraparenchymal hematoma in right frontal lobe measures 3 . 3 x 2 . 2 cm .,size,numeric,numeric,,
1.3 x 0.5 cm,descriptor,2,"on axial slice 8 series 201 , there is subtle decreased attenuation in the mid posterior left cerebellum measuring 1 . 3 x 0 . 5 cm .",size,numeric,numeric,,
6.4 x 3.9 cm,descriptor,2,"lesion is relatively similar in size and appearance measuring approximately 6 . 4 x 3 . 9 cm , little interval changed when measured in a similar fashion on prior exam .",size,numeric,numeric,,
anterior biventricular dimension of 4.4 cm,descriptor,2,the degree of ventricular dilation is similar to that of the prior examination with anterior biventricular dimension of 4 . 4 cm .,size,numeric,numeric,,
proximally 5 mm,descriptor,2,"white matter edema , right hemispheric sulcal effacement , and leftward subfalcine midline shift proximally 5 mm is noted .",size,numeric,numeric,,
70 ml,descriptor,2,"following administration of 70 ml of ostle300 , the enhancement pattern of the brain parenchyma and visualized portions of the intracranial vasculature is normal .",size,numeric,numeric,,
23.3 mm,descriptor,2,residual right-sided subdural collection now maximal thickness 11 . 9 mm versus prior 23 . 3 mm .,size,numeric,numeric,,
36 x 42 mm,descriptor,2,there is a postsurgical fluid cavity in the right frontal lobe measuring 36 x 42 mm .,size,numeric,numeric,,
8 x 14 mm,descriptor,2,"a small csf density collection persists near the tip of the catheter , measuring 8 x 14 mm .",size,numeric,numeric,,
5.8 x 4.1 cm,descriptor,2,"large subarachnoid cyst anterior right middle cranial fossa , 5 . 8 x 4 . 1 cm image 11 .",size,numeric,numeric,,
3.9 x 1.7 cm,descriptor,2,"probable smaller arachnoid cyst at medial aspect anterior left middle cranial fossa , 3 . 9 x 1 . 7 cm image 9 .",size,numeric,numeric,,
7 x 11 mm,descriptor,2,"new right occipital parenchymal hemorrhage , 7 x 11 mm also consistent with a posttraumatic shearing injury .",size,numeric,numeric,,
32 x 28 mm,descriptor,2,cross-sectional measurements as determined from image 14 are 32 x 28 mm .,size,numeric,numeric,,
19 x 18 mm,descriptor,2,"brain : mass lesion in the right centrum semiovale has increased in size , now measuring 19 x 18 mm , previously 10 x 8 mm .",size,numeric,numeric,,
14 ml,descriptor,2,hyperdense intra-axial hemorrhage at the anterior left superior frontal gyrus is stable in volume since 2 / 7 / 1995 measuring 37 x 21 mm ( estimated volume of 14 ml ) .,size,numeric,numeric,,
3 x 1.2 cm,descriptor,2,brain : unchanged hemorrhage in the left temporal lobe in or near the temporal horn of the lateral ventricle measuring 3 x 1 . 2 cm on axial slices .,size,numeric,numeric,,
4.4 x 3.1 cm,descriptor,2,the larger is in the right frontal parasagittal cortex and subcortical white matter with idrss sectional measurements approximately 4 . 4 x 3 . 1 cm .,size,numeric,numeric,,
previously 1.3 cm,descriptor,2,"it has decreased in thickness slightly from 05 / 25 / 2003 , now measuring approximately 1 cm ( previously 1 . 3 cm ) . 2 mm of leftward midline shift persists .",size,numeric,numeric,,
2.2 x 1.2 cm,descriptor,2,2 . 2 x 1 . 2 cm hemorrhage centered at the right globus pallidus / genu of the right internal capsule with surrounding vasogenic edema .,size,numeric,numeric,,
6- 7 mm,descriptor,2,"this is compared with maximal thickness of 6- 7 mm on the prior study , although the subdural collection extended over greater area .",size,numeric,numeric,,
1.7 x 1.0 cm,descriptor,2,1 . 7 x 1 . 0 cm hyperdense lesion along the right anterior lower tentorium just above the petrous apex extends partially into the right ambient cistern and probably has a punctate internal calcification .,size,numeric,numeric,,
1.7 x 2.5 cm,descriptor,2,"brain : there is increased intraparenchymal hematoma within the left temporal lobe , measuring up to 1 . 7 x 2 . 5 cm .",size,numeric,numeric,,
1.4 mm,descriptor,2,right parafalcine subdural hematoma is also noted measuring to 3 . 5 mm in thickness as well as the right tentorium measuring up to 1 . 4 mm .,size,numeric,numeric,,
measuring up to 3.1 cm,descriptor,2,brain : large right convexity in mixed density subdural hematoma measuring up to 3 . 1 cm maximum on coronal images .,size,numeric,numeric,,
volume = 21 cm^3,descriptor,2,"brain : slight enlargement of the left basal ganglia intraparenchymal hemorrhage , measuring 4 . 4 x 2 . 5 x 3 . 6 cm ( volume = 21 cm^3 ) today compared with 16 cc volume 6 days ago .",size,numeric,numeric,,
volume = 14 cm^3,descriptor,2,brain : high-density acute intracranial hemorrhage centered within the right basal ganglia measuring 2 . 9 x 3 . 8 x 2 . 4 cm ( volume = 14 cm^3 ) .,size,numeric,numeric,,
4.0 x 3.0 cm,descriptor,2,the area of hyperdensity measures approximately 4 . 0 x 3 . 0 cm .,size,numeric,numeric,,
measuring up to 1.7 cm,descriptor,2,"no increase in left convexity subdural hemorrhage , measuring up to 1 . 7 cm in perpendicular dimension .",size,numeric,numeric,,
3.2 x 3.0 cm,descriptor,2,a component of intraparenchymal acute hemorrhage in the region of the left basal ganglia measures 3 . 2 x 3 . 0 cm .,size,numeric,numeric,,
1.8 x 2.1 cm,descriptor,2,there is acute hemorrhage in the pons measuring approximately 1 . 8 x 2 . 1 cm in greatest axial dimension and 2 . 2 cm in craniocaudal length .,size,numeric,numeric,,
3.3 x 1.9 cm,descriptor,2,"overall , this area measures 3 . 3 x 1 . 9 cm in greatest axial dimension .",size,numeric,numeric,,
21 mm in thickness,descriptor,2,brain : subdural hematoma overlying the right cerebral convexity is again identified and appears stable since prior examination measuring 21 mm in thickness when measured in similar fashion within the right parietal region .,size,numeric,numeric,,
7.2 x 3.5 cm,descriptor,2,"there is been development of a large at least 7 . 2 x 3 . 5 cm intraparenchymal hemorrhage within the right frontal and parietal lobes ( representative images 23 , series 2 ) .",size,numeric,numeric,,
7.5 cm,descriptor,2,the maximal dimension is now 9 . 0 cm compared with the previous maximal measurement of 7 . 5 cm .,size,numeric,numeric,,
5mm,descriptor,2,this collection measures 5mm in thickness .,size,numeric,numeric,,
no more than 3 mm,descriptor,2,the mass in the right temporal lobe has decreased to no more than 3 mm in diameter and the surrounding edema has decreased as well .,size,numeric,numeric,,
1.4 x 0.8 cm,descriptor,2,"this calcification , which measures 1 . 4 x 0 . 8 cm , likely represents a benign calcified meningioma of no clinical significance .",size,numeric,numeric,,
3.2 x 1.8 cm,descriptor,2,"brain : intraparenchymal hemorrhage with surrounding vasogenic edema in the inferior right frontal lobe , reflecting parenchymal contusion , measuring approximately 3 . 2 x 1 . 8 cm ( series 2 / image 8 ) .",size,numeric,numeric,,
34 ml,descriptor,2,"brain : 3 . 4 x 5 . 1 x 3 . 9 cm acute left occipital parenchymal hemorrhage , with slight subarachnoid and subdural extension but predominantly intraparenchymal , approximate volume 34 ml .",size,numeric,numeric,,
2.6 x 1.8 cm,descriptor,2,the cystic structure described previously adjacent to the pineal gland in the right paramedian location has increased in size now measuring 2 . 6 x 1 . 8 cm compared to 1 . 9 x 1 . 2 cm previously .,size,numeric,numeric,,
approximately 0.3 cm,descriptor,2,"right-to-left midline shift is approximately 0 . 3 cm , stable to slightly decreased since the prior study .",size,numeric,numeric,,
2.1 x 0.9 cm,descriptor,2,hematoma along the catheter tract is decreased in size now measuring 2 . 1 x 0 . 9 cm .,size,numeric,numeric,,
3 months,descriptor,2,this examination is considered a new baseline study post surgery and a follow examination in 3 months is suggested to reevaluate .,size,numeric,numeric,,
measuring up to 16 mm,descriptor,2,brain : stable acute hemorrhage within the left thalamus / subthalamic measuring up to 16 mm .,size,numeric,numeric,,
2.9 x 2.7 cm,descriptor,2,"there has been further decrease in size of the cystic mass involving the right frontal lobe , now measuring 2 . 9 x 2 . 7 cm compared with 3 . 5 cm maximally on the most recent examination .",size,numeric,numeric,,
11 ml,descriptor,2,estimated intra-axial blood products of 29 x 28 x 26 mm ( estimated intra-axial blood volume 11 ml ) .,size,numeric,numeric,,
0.2 cm,descriptor,2,there is mild mass effect from the patient's hematoma with left to right midline shift of approximately 0 . 2 cm .,size,numeric,numeric,,
2.4 x 2.0 cm,descriptor,2,"decreased attenuation lesion inferior to the right external ear is again noted , measuring 2 . 4 x 2 . 0 cm .",size,numeric,numeric,,
2.6 x 1.5 cm,descriptor,2,"the right paramidline occipital osteoma , arising from the outer table of the skull projecting into the subcutaneous soft tissues , measures 2 . 6 x 1 . 5 cm today compared to 2 . 4 x 1 . 1 cm previously .",size,numeric,numeric,,
2.4 x 1.1 cm,descriptor,2,"the right paramidline occipital osteoma , arising from the outer table of the skull projecting into the subcutaneous soft tissues , measures 2 . 6 x 1 . 5 cm today compared to 2 . 4 x 1 . 1 cm previously .",size,numeric,numeric,,
2.0 x 1.7 cm,descriptor,2,the residual low density at this location measures 2 . 0 x 1 . 7 cm on image number 27 .,size,numeric,numeric,,
9 x 11 mm,descriptor,2,hemorrhage extends inferiorly ( series 2 / image 9 ) and there is a second focus of hemorrhage measuring 9 x 11 mm ( series 2 / image 8 ) which may involve the left cerebellar peduncle .,size,numeric,numeric,,
38 x 27 mm,descriptor,2,on this examination and measures 38 x 27 mm .,size,numeric,numeric,,
previously 4.2 cm,descriptor,2,"bifrontal diameter previously 4 . 2 cm , currently 4 . 3 cm .",size,numeric,numeric,,
right-to-left shift of 4 mm,descriptor,2,mass effect with right-to-left shift of 4 mm .,size,numeric,numeric,,
2.8 x 3.3 cm,descriptor,2,this is ill-defined and measures approximately 2 . 8 x 3 . 3 cm in diameter .,size,numeric,numeric,,
100 ml,descriptor,2,generalized cortical atrophy . 100 ml omnipaque 300,size,numeric,numeric,,
4 mm to 8 mm,descriptor,2,rightward midline shift has increased from 4 mm to 8 mm .,size,numeric,numeric,,
3 millimeter,descriptor,2,there is a 3 millimeter ossific density noted adjacent to the anterior / inferior vertebral body of c3 which may be secondary to an old avulsion fracture or ligamentous calcification as there is no soft tissue swelling .,size,numeric,numeric,,
approximately 1 cm in diameter,descriptor,2,small hyperdense hemorrhage in the right parietal subdural space may represent more recent subdural hemorrhage measuring approximately 1 cm in diameter .,size,numeric,numeric,,
2.8 x 1.7 cm,descriptor,2,currently measures 2 . 7 x 1 . 7 cm axial dimensions ( previously 2 . 8 x 1 . 7 cm ) .,size,numeric,numeric,,
32 x 24 mm,descriptor,2,"the intra-axial right parietal lobe hematoma is largely obscured on series 21 , image 14 , but grossly stable in size estimated at 26 x 25 mm ap by transverse ( versus 32 x 24 mm on 03 / 03 / 2001 ) .",size,numeric,numeric,,
1.5 x 2.4 cm,descriptor,2,contusion immediately subjacent to the left frontal bone today measures 1 . 5 x 2 . 4 cm compared to 1 . 8 x 2 . 3 cm .,size,numeric,numeric,,
prior 9 mm,descriptor,2,the extra-axial blood collection immediately adjacent to the left calvarial bone flap has maximal thickness of 8 mm versus prior 9 mm .,size,numeric,numeric,,
1.9 mm,descriptor,2,minimal decrease in the degree of midline shift to the left now 1 . 9 mm versus prior 3 mm .,size,numeric,numeric,,
maximal thickness of 11 mm,descriptor,2,the left anterior parafalcine subdural hematoma now with maximal thickness of 9 mm versus 01 / 11 / 2008 maximal thickness of 11 mm .,size,numeric,numeric,,
7.2 cm,descriptor,2,the hematoma measures at least 7 . 2 cm length x 3 cm wide .,size,numeric,numeric,,
22 x 28 mm,descriptor,2,right thalamic hematoma grossly stable in size measuring 22 x 28 mm on this examination .,size,numeric,numeric,,
5 mm greatest thickness,descriptor,2,"there is acute subdural hemorrhage along the interhemispheric fissure , most prominently along the upper margin of the anterior falx measuring 5 mm greatest thickness .",size,numeric,numeric,,
2.8 x 1.4 cm,descriptor,2,"however , along the anterior margin of the craniectomy space there is a slightly increasing extradural high attenuation fluid collection best demonstrated on image 25 of series 2 measuring approximately 2 . 8 x 1 . 4 cm which likely represents some recent hemorrhage into this craniectomy bed .",size,numeric,numeric,,
volume = 23 cm^3,descriptor,2,"brain : intraparenchymal hematoma centered in the right thalamus measures 4 . 5 x 2 . 8 x 3 . 7 cm ( volume = 24 cm^3 ) , previously 2 . 8 x 4 . 4 x 3 . 6 cm ( volume = 23 cm^3 ) .",size,numeric,numeric,,
4.3 x 1.4 cm,descriptor,2,overlying pseudomeningocele decreased in size now measuring 4 . 3 x 1 . 4 cm ( previously 5 . 0 x 2 . 1 cm ) .,size,numeric,numeric,,
32 ml,descriptor,2,the lobulated intra-axial hemorrhage encompasses 40 mm diameter foreign estimated blood volume of 32 ml .,size,numeric,numeric,,
2 milliliters,descriptor,2,"estimated intra-axial blood encompasses 26 x 14 x 9 millimeters ( ap by transverse by cc ) for an estimated volume of 2 milliliters , and appears stable from earlier .",size,numeric,numeric,,
2.0 x 1.8 cm,descriptor,2,a 2 . 0 x 1 . 8 cm right anterior parafalcine partially calcified meningioma similar to prior ct .,size,numeric,numeric,,
2.1 x 1.7 cm,descriptor,2,"acute intraparenchymal hemorrhage identified in the medial posterior right hemisphere medial to the occipital horn of the lateral ventricle , 2 . 1 x 1 . 7 cm in size .",size,numeric,numeric,,
measuring up to 12 mm thick,descriptor,2,"decrease in size of previously identified posterior left parietal subdural hematoma measuring up to 12 mm thick , previously 15 mm at a comparable level .",size,numeric,numeric,,
14.4 mm,descriptor,2,the fluid collection is slightly smaller measuring approximately 14 . 4 mm maximal thickness comparing 15 . 3 mm previously .,size,numeric,numeric,,
1.0 x 0.8 cm,descriptor,2,"there is a right parafalcine focus of slight increased attenuation measuring 1 . 0 x 0 . 8 cm , better seen on mr , and felt to represent a small parafalcine meningioma .",size,numeric,numeric,,
2.9 x 1.3 cm,descriptor,2,"again identified large right thalamic hemorrhage measuring approximately 2 . 9 x 1 . 3 cm , previously 3 . 0 x 1 . 5 cm .",size,numeric,numeric,,
6 mm to 8 mm,descriptor,2,right frontal hematoma has increased in size from 6 mm to 8 mm .,size,numeric,numeric,,
5.2 x 4.0 cm,descriptor,2,"interval minimal increase in size of the large right frontoparietal hematoma , current maximum measurements approximately 5 . 2 x 4 . 0 cm ( image 18 ) , 5 . 3 x 3 . 5 cm yesterday .",size,numeric,numeric,,
1.5 x 2 cm,descriptor,2,the area of greatest density measures up to approximately 1 . 5 x 2 cm .,size,numeric,numeric,,
prior 1.5 cm,descriptor,2,left-sided subdural hematoma has a fluid-fluid level with hyperdense material in the dependent position with maximal thickness of 1 . 4 cm versus prior 1 . 5 cm .,size,numeric,numeric,,
approximately 2 x 1 cm,descriptor,2,this area measures approximately 2 x 1 cm .,size,numeric,numeric,,
21 mm thickness,descriptor,2,"brain : isodense left subdural hematoma has increased in size and now measures up to 21 mm thickness ( coronal image 33 today , and previously 14 mm thickness series 5 , image 35 on 03 / 09 / 2015 ) .",size,numeric,numeric,,
maximal thickness of 1.1 cm,descriptor,2,broad-based left-sided mixed density subdural hematoma with largest component left parietal region where there is a fluid fluid level with maximal thickness of 1 . 1 cm similar to the prior exam .,size,numeric,numeric,,
3.2 x 1.0 cm,descriptor,2,"within the right frontal region , there is an ketika axial mass which measures 3 . 2 x 1 . 0 cm .",size,numeric,numeric,,
2.4 x 0.8 cm,descriptor,1,"the patients left frontal meningioma is grossly stable in size from the prior mri from 0688 , though increased in size from the ct of the head performed in 4802; it appears to measure approximately 2 . 4 x 0 . 8 cm .",size,numeric,numeric,,
measuring 8 mm previously 6 mm,descriptor,1,"dilated ventricular system , slightly increased in comparison to prior with the third ventricle measuring 8 mm previously 6 mm .",size,numeric,numeric,,
8 mm previously 6 mm,descriptor,1,"dilated ventricular system , slightly increased in comparison to prior with the third ventricle measuring 8 mm previously 6 mm .",size,numeric,numeric,,
18 x 13 mm,descriptor,1,"following contrast infusion , there is a ring enhancing lesion in the left parietal lobe measuring 18 x 13 mm .",size,numeric,numeric,,
"7 mm , previously 5 mm",descriptor,1,"ventricles slightly increasing ventriculomegaly; anterior recess of third ventricle is 7 mm , previously 5 mm .",size,numeric,numeric,,
3 x 3 x 1 cm,descriptor,1,: there is a 3 x 3 x 1 cm left basal ganglia hemorrhage which is acute there is moderate ventriculomegaly and cortical sulci widening .,size,numeric,numeric,,
12 x 14 x 8 mm,descriptor,1,"no change in a calcified meningioma along the anterior tentorium on the right , measuring up to 12 x 14 x 8 mm in size .",size,numeric,numeric,,
19 x 15 mm,descriptor,1,"previously referenced contusion at the right temporal pole is relatively stable measuring 19 x 15 mm on today's study , previously 19 x 14 mm .",size,numeric,numeric,,
19 x 15 mm on today's study,descriptor,1,"previously referenced contusion at the right temporal pole is relatively stable measuring 19 x 15 mm on today's study , previously 19 x 14 mm .",size,numeric,numeric,,
"today's study , previously 19 x 14 mm",descriptor,1,"previously referenced contusion at the right temporal pole is relatively stable measuring 19 x 15 mm on today's study , previously 19 x 14 mm .",size,numeric,numeric,,
previously 19 x 14 mm,descriptor,1,"previously referenced contusion at the right temporal pole is relatively stable measuring 19 x 15 mm on today's study , previously 19 x 14 mm .",size,numeric,numeric,,
3.7 x 2.0 cm,descriptor,1,"the subacute right basal ganglia / thalamic hemorrhage demonstrates evolutionary changes , with indistinct hyperdense component currently measuring 2 . 1 x 1 . 5 cm ( formerly 3 . 7 x 2 . 0 cm ) and with reduced associated mass effect .",size,numeric,numeric,,
11 x 15 x 15 mm,descriptor,1,"brain : again seen is a round hyperdense focus measuring 11 x 15 x 15 mm in the region of the right cerebral peduncle , unchanged ( series 2 , image 11 ) question small focus of internal cystic change .",size,numeric,numeric,,
3.8 x 0.8 cm,descriptor,1,"underlying the marker , there is a simple lipoma measuring 3 . 8 x 0 . 8 cm in the axial plane .",size,numeric,numeric,,
volume = 130 cm^3,descriptor,1,the hematoma measures up to 7 . 4 x 6 . 3 x 5 . 5 cm ( volume = 130 cm^3 ) .,size,numeric,numeric,,
previously 13.4 mm,descriptor,1,hypodense collection overlying the high left parietal region is slightly more prominent measuring 1 . 6 cm ( previously 13 . 4 mm ) .,size,numeric,numeric,,
approximately 4 mm thick,descriptor,1,"a small , approximately 4 mm thick , stable chronic left subdural collection is seen throughout the left hemisphere .",size,numeric,numeric,,
3.1 x 1.6 cm,descriptor,1,"abnormal area of high attenuation within the posterior aspect of the right centrum semiovale , 3 . 1 x 1 . 6 cm in size , with an additional adjacent high and low attenuation partially cystic component 10 x 8 mm in size .",size,numeric,numeric,,
"superior to inferior , 2.6 cm",descriptor,1,"there is an epidural hematoma in the left parietal region measuring 2 . 9 cm from superior to inferior , 2 . 6 cm from anterior to posterior , and 0 . 9 cm from right to left .",size,numeric,numeric,,
4.1 x 2.6 cm,descriptor,1,"ovoid csf density structure along the high posterior left frontal lobe , measuring 4 . 1 x 2 . 6 cm in transaxial dimensions , unchanged in size as compared to the prior mri of 9 / 11 / 1990 and compatible with an arachnoid cyst .",size,numeric,numeric,,
7 x 2.5 cm,descriptor,1,anterior left frontal hematoma measures 7 x 2 . 5 cm which is relatively similar to the prior exam taking into account differences in head tilt .,size,numeric,numeric,,
5.5 x 3.9cm,descriptor,1,"the mass with the surrounding low-density edema measures 5 . 5 x 3 . 9cm , image # 18 .",size,numeric,numeric,,
approximately 7 mm diameter,descriptor,1,there is a approximately 7 mm diameter hypodensity adjacent to the posterior aspect of the corpus callosum on the right parietal lobe consistent with an old lacunar infarction .,size,numeric,numeric,,
7.0 x 4.2 cm,descriptor,1,"centered in the right temporal lobe there is a large intracranial hemorrhage which has significantly increased in size compared to the prior study , currently measuring approximately the 7 . 0 x 4 . 2 cm ( previously 4 . 8 x 3 . 3 cm ) , extending posteriorly and superiorly and to the right parietal region . .",size,numeric,numeric,,
4.8 x 3.3 cm,descriptor,1,"centered in the right temporal lobe there is a large intracranial hemorrhage which has significantly increased in size compared to the prior study , currently measuring approximately the 7 . 0 x 4 . 2 cm ( previously 4 . 8 x 3 . 3 cm ) , extending posteriorly and superiorly and to the right parietal region . .",size,numeric,numeric,,
approximately 6 cm in diameter,descriptor,1,"development of pronounced pneumocephalus since the previous examination with air / gas being present within a large left frontal cavity measuring approximately 6 cm in diameter , communicating with the frontal horn of the left lateral ventricle with air present in the frontal horns of both lateral ventricles .",size,numeric,numeric,,
6 cm in diameter,descriptor,1,"development of pronounced pneumocephalus since the previous examination with air / gas being present within a large left frontal cavity measuring approximately 6 cm in diameter , communicating with the frontal horn of the left lateral ventricle with air present in the frontal horns of both lateral ventricles .",size,numeric,numeric,,
3.6 x 83.0 cm,descriptor,1,"acute right parietal hyperdense intracranial hemorrhage noted measuring 3 . 6 x 83 . 0 cm , image 18 .",size,numeric,numeric,,
6.2 by 14.5 mm,descriptor,1,a lytic lesion in the left frontal calvarium measures 6 . 2 by 14 . 5 mm on axial images .,size,numeric,numeric,,
measuring up to 7 mm in greatest thickness,descriptor,1,subdural hematoma overlying the anterior left cerebral hemisphere is unchanged again measuring up to 7 mm in greatest thickness .,size,numeric,numeric,,
1.4 x 3 cm,descriptor,1,there is an intermediate density extra-axial lesion in the right frontal region measuring 1 . 4 x 3 cm in diameter .,size,numeric,numeric,,
5 x 3.2 cm,descriptor,1,the left hemispheric hematoma centered in the left sub insular region has increased in size now with maximal transverse dimension of 5 x 3 . 2 cm versus prior 3 . 5 x 2 . 5 cm .,size,numeric,numeric,,
10.1 x 6.7 cm,descriptor,1,"the patient's large left-sided intraparenchymal hemorrhage has increased further in size , measuring approximately 10 . 1 x 6 . 7 cm , with increasing surrounding vasogenic edema .",size,numeric,numeric,,
approximately 5 x 11 mm,descriptor,1,the area of hemorrhage measures approximately 5 x 11 mm .,size,numeric,numeric,,
measuring up to 9 millimeters in thickness,descriptor,1,other : broad-based posterior scalp hematoma eccentric to the left and measuring up to 9 millimeters in thickness .,size,numeric,numeric,,
volume = 51 cm^3,descriptor,1,brain : contracting 4 . 1 x 4 . 5 x 5 . 3 cm ( volume = 51 cm^3 ) right frontotemporoparietal hematoma was 4 . 5 x 4 . 6 x 5 . 7 cm ( volume = 62 cm^3 ) .,size,numeric,numeric,,
volume = 62 cm^3,descriptor,1,brain : contracting 4 . 1 x 4 . 5 x 5 . 3 cm ( volume = 51 cm^3 ) right frontotemporoparietal hematoma was 4 . 5 x 4 . 6 x 5 . 7 cm ( volume = 62 cm^3 ) .,size,numeric,numeric,,
volume = 2.8 cm^3,descriptor,1,"brain : acute hemorrhage within the left paramedian superior cerebellum measuring 2 . 2 x 1 . 6 x 1 . 5 cm ( volume = 2 . 8 cm^3 ) ( ap x ml x cc series 3 , image 9 and series 6 , image 32 ) .",size,numeric,numeric,,
previously 8 mm thick,descriptor,1,"slightly hyperdense posterior right parietal subdural hematoma 6 mm thick , decreased in thickness , previously 8 mm thick .",size,numeric,numeric,,
3.6 x 4.6 cm,descriptor,1,"brain : 3 . 6 x 4 . 6 cm left frontoparietal parafalcine extra-axial mass was 3 . 8 x 4 . 7 cm on september 19 , 2001 and 3 . 4 x 4 cm on september 5 , 2004 .",size,numeric,numeric,,
3.8 x 4.7 cm,descriptor,1,"brain : 3 . 6 x 4 . 6 cm left frontoparietal parafalcine extra-axial mass was 3 . 8 x 4 . 7 cm on september 19 , 2001 and 3 . 4 x 4 cm on september 5 , 2004 .",size,numeric,numeric,,
3.4 x 4 cm,descriptor,1,"brain : 3 . 6 x 4 . 6 cm left frontoparietal parafalcine extra-axial mass was 3 . 8 x 4 . 7 cm on september 19 , 2001 and 3 . 4 x 4 cm on september 5 , 2004 .",size,numeric,numeric,,
3 x 1.7 cm,descriptor,1,there is a 3 x 1 . 7 cm hemorrhage in the right frontal lobe .,size,numeric,numeric,,
4.2 x 1.1 cm,descriptor,1,stable 4 . 2 x 1 . 1 cm right lenticular nucleus hematoma with mild surrounding vasogenic edema .,size,numeric,numeric,,
3.1 x 2.4 cm,descriptor,1,"by my measurements , the hyperdense hemorrhage previously measured approximately 3 . 6 x 2 . 6 cm and currently measures 3 . 1 x 2 . 4 cm .",size,numeric,numeric,,
