Entity,Entity Type,Count,Mapped Entity,Similarity
subarachnoid space,anatomy,129,Subarachnoid space,0.9984247427020263
face,anatomy,128,Face,0.999078527668609
intracranial vasculature,anatomy,128,Vasculature of brain,0.9267199516964318
right scalp,anatomy,127,Right occipital zone of scalp,0.8583599659850178
bilateral frontal,anatomy,127,Frontal part of head,0.7471014067090656
dural margin,anatomy,127,Region of dura mater,0.7706055939260472
ethmoid sinus air cells,anatomy,126,Left anterior ethmoidal cell,0.7698859773310914
cerebellar folia,anatomy,126,Cerebellar cortex,0.8292146596104137
left side,anatomy,126,Left side of head,0.6891585603248723
posterior left frontal lobe,anatomy,126,Left frontal lobe,0.9298993817942405
craniotomy site,anatomy,125,Cranial cavity,0.6950943193231063
temporomandibular,anatomy,125,Jaw,0.7960613876707858
anterior left frontal lobe,anatomy,124,Left frontal lobe,0.9525333966762993
gantry,anatomy,124,Crista galli,0.5420709083474368
right pca territory,anatomy,124,Right paracentral lobule,0.5463677779992345
right parietal bone,anatomy,123,Right parietal bone,0.9942962717440942
pituitary,anatomy,122,Hypothalamus,0.7476512068425589
intracranial carotids,anatomy,122,Internal carotid artery,0.869727509013386
left putamen,anatomy,121,Left half of hypothalamus,0.6705604465939335
c5-c6,anatomy,121,Craniocervical region,0.5939776921503178
extra-axial space,anatomy,120,Subarachnoid space,0.7148663062892842
anterior limb of the left internal capsule,anatomy,119,Capsule of left lens,0.6639611978177671
zygomatic arches,anatomy,118,Zygomatic arch,0.9133893904272283
right putamen,anatomy,118,Right half of hypothalamus,0.6935760916569791
anterior ethmoid air cells,anatomy,118,Left anterior ethmoidal cell,0.840775647336998
anterior right frontal lobe,anatomy,117,Right frontal lobe,0.9582719229616941
left posterior scalp,anatomy,117,Left occipital zone of scalp,0.8417956458623138
globe,anatomy,117,Eyeball,0.9230682433634904
left zygomatic arch,anatomy,116,Left zygomatic arch,0.9970006129636784
centrum semiovale,anatomy,115,Right arcuate eminence,0.53660250898308
limited intracranial,anatomy,114,Cranial cavity,0.6163431277167993
head of the caudate nucleus,anatomy,114,Sublentiform nucleus,0.6401931671830696
remaining bones,anatomy,114,Irregular bone,0.8165770284424921
bilateral orbits,anatomy,114,Right orbital cavity,0.7755630495577956
right posterior parietal region,anatomy,114,Right parietal part of head,0.8516941903657986
contents,anatomy,113,Capsule,0.5878393251395712
right internal capsule,anatomy,113,Capsule of right lens,0.8008478348805969
brain volume,anatomy,113,Cavity of brain,0.7596010713357544
left posterior parietal region,anatomy,113,Left parietal part of head,0.8236570345201462
right posterior scalp,anatomy,112,Right occipital zone of scalp,0.8458835170276062
left frontoparietal region,anatomy,111,Left prefrontal cortex,0.7949049565380376
right periorbital,anatomy,110,Right peri-orbital region of face,0.8877704876362058
left occipital region,anatomy,110,Left occipitalis,0.8781715314175328
left ethmoid sinus,anatomy,110,Left ethmoidal sinus,0.9878774912305477
right vertebral artery,anatomy,108,Right vertebral artery,0.9958003335130636
external capsules,anatomy,108,Capsule,0.8248373496039144
bilateral ethmoid air cells,anatomy,108,Left anterior ethmoidal cell,0.8517986801429273
occipital horns of the lateral ventricles,anatomy,108,Occipital horn of lateral ventricle,0.8996538465102494
convexities,anatomy,108,Angle of mouth,0.5950489252811735
cerebral sulci,anatomy,108,Interlobar cerebral sulcus,0.9177923479815738
csf,anatomy,107,Cerebral epidural space,0.6827571579611111
left periorbital,anatomy,107,Left peri-orbital region of face,0.8800062797533622
right ethmoid sinus,anatomy,107,Right ethmoidal sinus,0.9899873994515767
sinuses / soft tissues,anatomy,107,Superficial fascia,0.5784220951773422
parafalcine,anatomy,106,Amiculum,0.40546684566095814
occipital horn of the right lateral ventricle,anatomy,106,Occipital horn of right lateral ventricle,0.9520243854034507
left caudate nucleus,anatomy,106,Sublentiform nucleus,0.6742451567197457
tentorial,anatomy,106,Tentorium cerebelli,0.6560494189477509
frontal bone,anatomy,106,Frontal bone,0.9984787927740333
intracranial carotid arteries,anatomy,105,Internal carotid artery,0.9293454848150093
subdural space,anatomy,105,Subdural space,0.999599543659078
left parietal bone,anatomy,105,Left parietal bone,0.9998001243062322
parietal region,anatomy,104,Parietal part of head,0.8516448151984342
nasal cavity,anatomy,104,Nasal cavity,0.999789783195101
optic nerves,anatomy,104,Optic nerve,0.9901324715317705
canal,anatomy,104,Anatomical conduit space,0.7302214310522313
left nasal bone,anatomy,103,Left nasal bone,0.9991400887007438
right frontal calvarium,anatomy,103,Right temporal part of frontal bone,0.8115779963188459
right posterior frontal,anatomy,103,Right frontal pole,0.8627736974741445
facial,anatomy,103,Face,0.9691861079029186
pterygoid plates,anatomy,102,Pterygoid process,0.7825236115783398
dura,anatomy,102,Dura mater,0.873196197712088
right frontoparietal region,anatomy,102,Right prefrontal cortex,0.8062834947737983
arterial,anatomy,101,Systemic artery,0.79895700434815
underlying calvarium,anatomy,101,Calvarium,0.910064790198245
left frontal calvarium,anatomy,101,Left temporal part of frontal bone,0.820117567005999
gray-white junction,anatomy,101,Posterior commissure,0.6913911969160671
left middle ear,anatomy,101,Left middle ear,0.9990723882843109
insular cortex,anatomy,101,Cerebral cortex,0.7991993091214936
cavernous sinus,anatomy,100,Cavernous sinus,0.9955490431843265
bilateral carotid siphon,anatomy,100,Left carotid siphon,0.937702153341263
left insula,anatomy,100,Left insula,0.9999999999999998
right caudate nucleus,anatomy,99,Sublentiform nucleus,0.6566408919035958
inferior right frontal lobe,anatomy,99,Right frontal lobe,0.9347492539381687
posterior falx,anatomy,99,Falx cerebri,0.7136378425946095
temporal bone,anatomy,98,Temporal bone,0.9897900538510044
parenchyma,anatomy,98,Nonparenchymatous organ,0.7526125749962123
hemispheric deep white matter,anatomy,98,Segment of white matter of neuraxis,0.7567816713654726
left mca distribution,anatomy,98,Left mammillary artery,0.5494765901539053
left hemispheric,anatomy,96,Left cerebral hemisphere,0.6936030036467588
remaining paranasal sinuses,anatomy,96,Set of paranasal sinuses,0.8888529937403405
caudate head,anatomy,96,Wall of cerebral aqueduct,0.5473170818433112
left occipital horn,anatomy,96,Left occipital pole,0.7746936473664354
paranasal,anatomy,96,Paranasal sinus,0.7916176973546695
mastoid air cell,anatomy,96,Mastoid air cell,0.9846895107777669
right occipital region,anatomy,95,Right occipitalis,0.8498390856459357
right temporal horn,anatomy,95,Right temporal fossa,0.7855108557436224
bilateral ethmoid sinuses,anatomy,95,Left ethmoidal sinus,0.8576933365230082
tympanic membrane,anatomy,93,Tympanic membrane,0.9701712552460103
right posterior parietal scalp,anatomy,93,Right parietal zone of scalp,0.8965433419591694
left ethmoid,anatomy,91,Left ethmoidal sinus,0.9045984060910903
middle cranial fossa,anatomy,91,Temporal fossa,0.7757547206326306
perivascular spaces,anatomy,91,White matter of left inferior transverse frontopolar gyrus,0.7644966347158876
deep gray matter nuclei,anatomy,91,Set of gray matter structures of neuraxis,0.7409406452683077
interventricular,anatomy,90,Third ventricle,0.5369672975728116
left centrum semiovale,anatomy,90,Left arcuate eminence,0.57819031021636
falx cerebri,anatomy,90,Falx cerebri,0.9491162407552244
posterior limb of the left internal capsule,anatomy,89,Posterior segment of left paracentral lobule,0.61899818416169
parietal regions,anatomy,89,Parietal part of head,0.8306311787564903
left pca territory,anatomy,89,White matter of left parietal lobe,0.5786746037269794
bilateral cerebral white matter,anatomy,88,White matter of left cerebral hemisphere,0.8468227556220537
pharynx,anatomy,88,Oropharynx,0.8598259245242841
mandible,anatomy,88,Mandible,0.9876099810488351
right temporal region,anatomy,88,Right temporal part of head,0.9370889694533934
cerebrum,anatomy,87,Cerebral hemisphere,0.8440552383888613
both globes,anatomy,87,Left eyeball,0.7930903108173408
overlying calvarium,anatomy,87,Calvarium,0.7213860138147515
vertebrobasilar,anatomy,87,Spinal branch of vertebral artery,0.6620860844482117
subcortical deep,anatomy,86,Subcortical gray matter,0.6944182539870415
superior sagittal sinus,anatomy,86,Superior sagittal sinus,0.989880069590292
left frontal white matter,anatomy,86,White matter of left frontal lobe,0.904189693874357
left occipital scalp,anatomy,86,Left occipital zone of scalp,0.9451404177781573
right occipital scalp,anatomy,86,Right occipital zone of scalp,0.9541883241487736
left posterior frontal,anatomy,86,Left frontal pole,0.8528527389868626
right zygomatic arch,anatomy,85,Right zygomatic arch,0.9742807405348798
right hemispheric,anatomy,85,Right cerebral hemisphere,0.7313616348210658
gray-white interface,anatomy,84,Reticular formation,0.5873578172326562
anterior right temporal lobe,anatomy,84,Right temporal lobe,0.9286697003455081
right vertex,anatomy,84,Right temple,0.6729302648908574
right nasal bone,anatomy,83,Right nasal bone,0.9930726500268268
left lenticular nucleus,anatomy,83,Nucleus of left lens,0.8226346107901789
left posterior parietal scalp,anatomy,83,Left parietal zone of scalp,0.9047924473052185
temporomandibular joints,anatomy,83,Temporomandibular joint,0.9726312407439883
white matters,anatomy,83,White matter of neuraxis,0.8180873900879251
intracerebral,anatomy,82,Cavity of brain,0.7846422895577957
frontal horns of the lateral ventricles,anatomy,82,Frontal horn of lateral ventricle,0.8801362186641247
cavernous carotid,anatomy,82,Cavernous branch of internal carotid artery,0.8011020740956427
gray and white matters,anatomy,82,White matter of neuraxis,0.791164236755587
circle of willis,anatomy,81,Cerebral arterial circle,0.8128069181547272
posterior arch of c1,anatomy,81,Cervical part of vertebral artery,0.6601554770420143
left lamina papyracea,anatomy,81,Left salpingopharyngeal fold,0.617879029730755
right ethmoid,anatomy,81,Right ethmoidal sinus,0.9181071397331211
anterior left temporal lobe,anatomy,81,Left temporal lobe,0.9199773440953687
posterior right temporal lobe,anatomy,81,Right temporal lobe,0.9211125181374726
remaining midline structures,anatomy,81,Zone of continuity,0.5852860518419427
basilar tip,anatomy,81,Spine of helix,0.6182561500328653
distal internal carotid arteries,anatomy,80,Segment of internal carotid artery,0.8543047238192005
vasculature,anatomy,80,Vasculature of cardinal body part,0.6882146312593045
overlying scalp,anatomy,80,Subdivision of scalp,0.8195548361306694
occiput,anatomy,80,Head,0.756525180317129
left orbital floor,anatomy,80,Floor of left orbit,0.9007464232140519
right posterior parietal lobe,anatomy,80,Right parietal lobe,0.9060287604735902
cavernous segment,anatomy,80,Cavernous artery,0.7539386569621817
suprasellar,anatomy,80,Suprasellar part of cranial cavity,0.7283780163433702
choroid plexus,anatomy,79,Choroid plexus of third ventricle,0.834169689506889
vascular structures,anatomy,79,Systemic artery,0.6763182927820607
inferior mastoid air cells,anatomy,79,Mastoid air cell,0.8802573641833846
right periventricular white matter,anatomy,79,White matter of right precuneus,0.6827696177158101
posterior limb of the right internal capsule,anatomy,79,Posterior segment of right paracentral lobule,0.6428494585933756
right insula,anatomy,79,Right insula,0.9930621800316548
calvaria,anatomy,78,Calvarium,0.8878715237433105
internal carotid artery,anatomy,78,Internal carotid artery,0.9748435864492291
medial left occipital lobe,anatomy,78,Left medial occipitotemporal gyrus,0.8652044654218717
left temporal horn,anatomy,78,Left temporal fossa,0.7814691300843515
anterior communicating artery,anatomy,78,Anterior communicating artery,0.992598500676817
both frontal lobes,anatomy,78,Frontal lobe,0.90406137177918
operculum,anatomy,78,Precuneus,0.5856005911336889
occipital bone,anatomy,78,Occipital bone,0.9800859515919285
bilateral cerebellar,anatomy,77,Cerebellum,0.8028869575627225
right temporoparietal,anatomy,77,Right temporoparietalis,0.9001419765656478
left posterior parietal lobe,anatomy,77,Left parietal lobe,0.9022036743782031
left posterior fossa,anatomy,77,Subarachnoid fossa,0.7193845178683588
left sided,anatomy,77,Left side of head,0.5881193786237903
left temporal region,anatomy,77,Left temporal part of head,0.9391244485726368
alignment,anatomy,77,Skeletal muscle tissue of frontalis,0.4884730305693614
left periventricular white matter,anatomy,76,White matter of left cerebral hemisphere,0.7313477946357241
bilateral thalami,anatomy,76,Left thalamus,0.9018384646730564
posterior left temporal lobe,anatomy,76,Left temporal lobe,0.9019974498065008
posterior parietal region,anatomy,76,Parietal part of head,0.7973858560504021
intracranial arteries,anatomy,76,Anterior cerebral artery,0.8403450341868919
intracranial vascular structures,anatomy,75,Vasculature of brain,0.8123273699312162
atrium of the right lateral ventricle,anatomy,75,Atrium of right lateral ventricle,0.946206404284643
vestibular aqueduct,anatomy,75,Vein of vestibular aqueduct,0.7952896356894221
bilateral frontal lobes,anatomy,75,Left frontal lobe,0.9042857724247354
right middle ear,anatomy,75,Right middle ear,0.9921681582687237
left vertex,anatomy,74,Left side of frontal bone,0.660748267921864
subcutaneous,anatomy,74,Superficial fascia,0.7776370753221313
clivus,anatomy,73,Left anterior clinoid process,0.6977391010113965
ethmoids,anatomy,73,Ethmoid,0.9633739045632789
right frontal white matter,anatomy,73,White matter of right frontal lobe,0.9052211340353655
right pontine,anatomy,73,Right side of brainstem,0.8195651609502967
left pontine,anatomy,72,Left inferior pontine sulcus,0.7461614453725858
facial bone,anatomy,72,Bone of skull bone,0.8135899071456523
dural sinuses,anatomy,72,Dural venous sinus,0.9241181135574608
skull base skull,anatomy,72,Skull,0.8467644430116151
putamen,anatomy,72,Sublentiform nucleus,0.6061317281388375
bilateral cerebellar hemispheres,anatomy,72,Right hemisphere of cerebellum,0.8362930332237155
mandibular condyles,anatomy,72,Left condylar process of mandible,0.7808154139028785
frontal regions,anatomy,72,Frontal part of head,0.886879551904327
periventricular deep white matter,anatomy,72,White matter of metencephalon,0.7496588893137474
superficial soft tissues,anatomy,71,Superficial fascia,0.8614550676122148
ventricular sulcal,anatomy,71,Central sulcus,0.6255515988721281
left frontal parietal,anatomy,71,Left parietal part of head,0.8000371110139359
right medial orbital wall,anatomy,70,Medial wall of right orbit,0.9384873771199694
posterior circulation,anatomy,70,Vertebral vein,0.6242792055514492
vessels skull,anatomy,70,Vasculature of skull bone,0.8443887886401096
orbital fat,anatomy,70,Orbital fat body,0.8727531656047569
right orbital floor,anatomy,69,Floor of right orbit,0.9122036078973181
right lamina papyracea,anatomy,69,Right salpingopharyngeal fold,0.6162611178704778
cavernous,anatomy,69,Cavernous artery,0.6702432640141978
interhemispheric,anatomy,69,Segment of forebrain,0.6740473214909604
right parafalcine,anatomy,69,Right calcarine artery,0.52710578034012
left maxillary sinuses,anatomy,69,Left maxillary sinus,0.9450669480688958
posterior aspect,anatomy,69,Posterior pole of eyeball,0.6510427748163016
4th ventricle,anatomy,69,Fourth ventricle,0.9279433061627321
high right frontal lobe,anatomy,69,Right frontal lobe,0.8801674157739137
cochlea,anatomy,68,Ear,0.8025157520903147
intra cavernous carotid arteries,anatomy,68,Cavernous branch of internal carotid artery,0.9113970066764384
posterior right ethmoid air cell,anatomy,68,Right posterior ethmoidal cell,0.9179771778555036
csf space,anatomy,68,Cerebral epidural space,0.8148977362923482
right supraorbital,anatomy,68,Right peri-orbital region of face,0.6952016219374925
neck,anatomy,68,Craniocervical region,0.7336096564219181
intracranial artery,anatomy,68,Anterior cerebral artery,0.8436024932322048
inner table,anatomy,67,Reticular formation,0.39189456703567727
both lateral ventricles,anatomy,67,Left lateral ventricle,0.8498388310100975
internal auditory canal,anatomy,67,Internal acoustic meatus,0.8740525966887477
distal right vertebral artery,anatomy,67,Right vertebral artery,0.9017079679252611
intracranial portions,anatomy,67,Cranial cavity,0.8341704517295462
posterior ethmoid air cells,anatomy,67,Right posterior ethmoidal cell,0.8086727079516952
occipital region,anatomy,66,Occipital part of head,0.9087874695792297
bilateral thalamus,anatomy,66,Left thalamus,0.8900128142782
globus pallidus,anatomy,66,Pallidotegmental fasciculus,0.6972327616824883
high left parietal lobe,anatomy,66,Left parietal lobe,0.8186705942014864
mca territory,anatomy,66,Marginal sulcus,0.4630188343756392
left parafalcine,anatomy,66,Left calcarine artery,0.5118204359106764
posterior left ethmoid air cell,anatomy,66,Left posterior ethmoidal cell,0.9177900662862061
maxillary antrum,anatomy,66,Maxillary sinus,0.8478209835126845
dens,anatomy,66,Set of teeth,0.5062269393318671
maxilla,anatomy,66,Maxilla,0.9822945314109506
lacrimal glands,anatomy,66,Lacrimal gland,0.9793413883298673
inferior left frontal lobe,anatomy,65,Left frontal lobe,0.9043043068745238
upper paranasal sinuses,anatomy,65,Paranasal sinus,0.8981743167412937
transcortical,anatomy,65,Neocortex,0.5795495044739487
high left frontal lobe,anatomy,65,Left frontal lobe,0.8705007684800776
bilateral frontal sinuses,anatomy,65,Left frontal sinus,0.8935070917782032
deep periventricular white matter,anatomy,64,White matter of metencephalon,0.7652663866089716
high right parietal lobe,anatomy,64,Right parietal lobe,0.8453567450562927
white-matter,anatomy,64,White matter of neuraxis,0.9279949027357739
basal ganglia region,anatomy,64,Forebrain,0.7158337846948793
left medial orbital wall,anatomy,63,Medial wall of left orbit,0.9311114412808595
right lenticular nucleus,anatomy,63,Nucleus of right lens,0.8540510968000916
major dural sinuses,anatomy,63,Dural venous sinus,0.8889110393812195
centrum ovale,anatomy,63,Right foramen ovale,0.604001067514528
genu of the left internal capsule,anatomy,63,Capsule of left lens,0.6472962023748905
vertebrobasilar system,anatomy,63,Axial skeletal system,0.6809093999929725
petrous apices,anatomy,62,Petrous part proper of temporal bone,0.7747105622070107
middle cerebral artery,anatomy,62,Middle cerebral artery,0.9961382000735841
skeletal,anatomy,62,Heterogeneous set of bones,0.7467017422877364
left parietal convexity,anatomy,61,Left parietal tuber,0.6967920570975524
right cerebral peduncle,anatomy,61,Right base of midbrain peduncle,0.820954681353918
lateral ventricular,anatomy,61,Lateral ventricle,0.9393052058799171
c6-c7,anatomy,61,Craniocervical region,0.6107452793711802
left ethmoid air cell,anatomy,61,Left posterior ethmoidal cell,0.9152224359021947
middle cerebral arteries,anatomy,61,Middle cerebral artery,0.989719421043527
intracranial portions of the carotid arteries,anatomy,61,Subdivision of internal carotid artery,0.8685019752687116
periventricular white-matter,anatomy,61,White matter of metencephalon,0.8352758414928566
basilar cistern,anatomy,61,Chiasmatic cistern,0.8149744857935892
vestibule,anatomy,61,Vestibule of mouth,0.7876089860824594
base of the skull,anatomy,60,Subdivision of skull,0.826550136746004
semicircular canals,anatomy,60,Bony labyrinth,0.7942189959480004
right ventricle,anatomy,60,Right lateral ventricle,0.7468293893559216
subgaleal,anatomy,60,Floor of left orbit,0.5487791289305021
cerebral convexities,anatomy,60,Cerebral crus,0.7818844334212093
medial right occipital lobe,anatomy,60,Right occipital lobe,0.8878505326851176
temporal regions,anatomy,60,Temporal part of head,0.8710468722354278
anterior interhemispheric fissure,anatomy,60,Cerebrocerebellar fissure,0.7893725025805808
medial wall,anatomy,59,Wall of organ,0.6954748939653259
occipital scalp,anatomy,59,Occipital part of scalp,0.9316927117069576
head of the right caudate nucleus,anatomy,59,Gray matter of right precuneus,0.5619481599830236
left pca,anatomy,59,Left posterior cerebral artery,0.6605229368678163
left temporoparietal,anatomy,59,Left temporoparietalis,0.8761667835165657
pineal gland,anatomy,59,Pineal body,0.8802052340346204
upper cervical spine,anatomy,59,Cervical part of vertebral artery,0.6440703850324407
posterior parietal lobe,anatomy,58,Parietal lobe,0.89091649012715
grey-white matter distinction,anatomy,58,Segment of white matter of neuraxis,0.6680629657050918
lentiform nucleus,anatomy,58,Sublentiform nucleus,0.8260807383537139
air cell,anatomy,58,Endo-epithelial cell,0.6455601996138379
right occipital bone,anatomy,58,Right lateral part of occipital bone,0.8878398426955085
right orbital,anatomy,57,Right orbital cavity,0.8821156902670464
left supraorbital,anatomy,57,Orbital part of left maxilla,0.716735595761716
right frontal skull,anatomy,57,Right side of frontal bone,0.8875200487328126
left occipital bone,anatomy,57,Left lateral part of occipital bone,0.8920986141469806
right middle cerebral artery territory,anatomy,57,Right middle cerebral artery,0.9009290432554262
orbital walls,anatomy,57,Lateral wall of orbit,0.8525266973020231
air cells,anatomy,57,Endo-epithelial cell,0.6197917217919531
retrobulbar,anatomy,57,Retrobulbar space,0.8675222895095266
facial bones,anatomy,57,Set of bones of skull,0.8093438716090207
underlying brain,anatomy,57,Brain,0.8458483719056524
left anterior frontal lobe,anatomy,56,Left frontal lobe,0.9495298852461735
cardiac silhouette,anatomy,56,Cribriform plate,0.4183900209051834
hematoma,anatomy,56,Subdural space,0.40584555853718063
cerebral deep white matter,anatomy,56,White matter of neuraxis,0.8488909133322328
resection cavity,anatomy,56,Organ cavity,0.7431232507778455
right posterior fossa,anatomy,56,Right temporal fossa,0.702712516663912
posterior parietal,anatomy,56,Parietal part of head,0.7015471265070697
nasal,anatomy,56,Nose,0.9531260583729567
right parieto-occipital,anatomy,55,Right occipitalis,0.7851111267391743
anterior limb internal capsule,anatomy,55,Capsule of anterior lens,0.7011701716262999
facet joints,anatomy,55,Set of joints of head,0.637810873795452
uncal,anatomy,55,Capsule,0.5678075436977356
cerebral ventricles,anatomy,55,Cerebral ventricle,0.9782996643168322
tip,anatomy,55,Tip of nose,0.6405687171612949
right middle cerebral artery distribution,anatomy,55,Right middle cerebral artery,0.9552417295336629
tentorium cerebelli,anatomy,55,Tentorium cerebelli,0.9665815020407618
temporal horn of the left lateral ventricle,anatomy,55,Temporal horn of left lateral ventricle,0.9579492619941724
right temporoparietal region,anatomy,54,Right temporoparietalis,0.8544015223330269
right parietal cortical,anatomy,54,Cortex of right parietal lobe,0.8539559637768902
right parietal convexity,anatomy,54,Right parietal tuber,0.7169496286943665
falcine,anatomy,54,Habenula,0.4741342079582538
right frontal operculum,anatomy,53,Right frontomarginal gyrus,0.7849524183611578
middle ear cavity,anatomy,53,Tympanic cavity,0.915535541634185
retro-orbital soft tissues,anatomy,53,Superficial fascia of orbital part of face,0.7154736132074586
subjacent calvarial,anatomy,53,Calvarium,0.7029417057766654
left supraorbital scalp,anatomy,53,Left parietal zone of scalp,0.7596817277593879
right occipital horn,anatomy,53,Right occipital pole,0.7878808661290201
right sided,anatomy,53,Right side of head,0.6515182499459928
posterior frontal,anatomy,53,Frontal pole,0.8068106857047257
internal capsules,anatomy,53,Capsule of lens,0.8175898838050029
left orbital,anatomy,53,Left orbital cavity,0.8734868516676189
craniectomy site,anatomy,52,Cranial cavity,0.6499376951607692
genu of the right internal capsule,anatomy,52,Capsule of right lens,0.6285152942832223
paraclinoid internal carotid arteries,anatomy,52,Internal carotid artery,0.8254313224865244
right pca,anatomy,52,Posteromedial central branch of right posterior cerebral artery,0.625303593977441
right forehead scalp,anatomy,52,Right occipital zone of scalp,0.8145716406202269
posterior limb internal capsule,anatomy,52,Capsule of posterior lens,0.6805283215807806
sellar,anatomy,52,Sella turcica,0.829217468180626
left mastoids,anatomy,52,Left mastoid process,0.9413470402702132
frontal white matter,anatomy,52,White matter of frontal lobe,0.8965888567479637
mca,anatomy,51,Occipitalis,0.5172818245712894
right maxillary sinuses,anatomy,51,Right maxillary sinus,0.9865014581747195
scutum,anatomy,51,Nasal sill,0.5683425398071619
nasal passages,anatomy,51,Nasal cavity,0.9548091432981082
bilateral paranasal sinuses,anatomy,51,Paranasal sinus,0.8367938487612715
prevertebral soft tissues,anatomy,51,Wall of trunk of posterior spinal artery,0.6197840101226287
right parietal cortex,anatomy,51,Cortex of right parietal lobe,0.9138214423205543
visualized calvarium,anatomy,51,Calvarium,0.7029740456216745
c4-c5,anatomy,51,Craniocervical region,0.5853927897552207
both vertebral arteries,anatomy,50,Vertebral artery,0.9032217115937747
bilateral sphenoid sinuses,anatomy,50,Right sphenoidal sinus,0.8741687050779215
deep periventricular white matter regions,anatomy,50,Segment of white matter of neuraxis,0.754070430510194
gray white differentiation,anatomy,50,Reticular formation,0.5545699051144969
left cerebral peduncle,anatomy,50,Cerebral peduncle,0.8309868766681546
ethmoid sinus cells,anatomy,50,Left anterior ethmoidal cell,0.826720139458871
visualize globes,anatomy,50,Eyeball,0.7199670552531753
posterior parietal lobes,anatomy,50,Parietal lobe,0.8783900927245705
bilateral cavernous carotid arteries,anatomy,50,Cavernous branch of left internal carotid artery,0.8210904284815215
bilateral cerebellum,anatomy,50,Cerebellum,0.849992921858823
basilar,anatomy,50,Trunk of basilar artery,0.7116642475647379
craniotomy,anatomy,50,Cranial cavity,0.6021243163621183
subcutaneous tissues,anatomy,50,Superficial fascia,0.8485765018743223
mastoid sinus,anatomy,49,Mastoid antrum,0.8843484902419594
right lateral,anatomy,49,Right lateral half of face,0.6374031544281448
ethmoidal,anatomy,49,Ethmoid,0.9583712315896376
zygomatic arch,anatomy,49,Zygomatic arch,0.983933225859271
left superior frontal gyrus,anatomy,49,Left superior frontal gyrus,0.9898640487076327
inferior right mastoid air cells,anatomy,49,Mastoid air cell of right temporal bone,0.8728747684249749
included vertebral arteries,anatomy,49,Vertebral artery,0.8414931042804115
posterior right ethmoid air cells,anatomy,49,Right posterior ethmoidal cell,0.9173581965405619
ethmoid regions,anatomy,49,Zone of ethmoid,0.9189097741922045
head of the left caudate nucleus,anatomy,49,Gray matter of left substantia nigra,0.508068996969947
adjacent brain parenchyma,anatomy,49,Cardinal segment of brain,0.7790748998323678
left side of sphenoid sinus,anatomy,49,Left sphenoidal sinus,0.9461008383886661
catheter tract,anatomy,49,Solitary tract,0.620121799587956
right ethmoid air cell,anatomy,49,Right posterior ethmoidal cell,0.9119047430627045
bilateral external auditory canals,anatomy,49,Left external ear,0.7874313617966506
both cerebellar hemispheres,anatomy,48,Right hemisphere of cerebellum,0.82381405568401
inferior frontal lobes,anatomy,48,Frontal lobe,0.919718029084598
temporal horns of the lateral ventricles,anatomy,48,Temporal horn of lateral ventricle,0.901361799221304
paraventricular,anatomy,48,Right lateral ventricle,0.6141697288424368
heart,anatomy,48,Content of superior mediastinum,0.4826832679111537
posterior right frontal,anatomy,48,Right frontal pole,0.8370994412983419
anterior horn of the right lateral ventricle,anatomy,48,Frontal horn of right lateral ventricle,0.8005218082960778
major intracranial vascular structures,anatomy,48,Vasculature of brain,0.8071470585863636
c1,anatomy,48,Cervical part of common carotid artery,0.47983225763661874
central pons,anatomy,48,Pons,0.8507477127716406
cervical lordosis,anatomy,48,Occipital protuberance,0.4835474532446222
right tympanic cavity,anatomy,48,Right tympanic cavity,0.9864236372184498
inner ear structures,anatomy,48,Bony labyrinth,0.876125209550453
right mastoid sinus,anatomy,47,Right mastoid antrum,0.8983508868056055
craniectomy defect,anatomy,47,Bone of skull bone,0.6124262607933276
left forehead scalp,anatomy,47,Left occipital zone of scalp,0.8069091038570737
lungs,anatomy,47,Lobular organ,0.5317917456361567
skullbase skull,anatomy,47,Skull,0.9019734649043899
anterior wall,anatomy,47,Wall of organ,0.6692423625356418
temporal horn of the right lateral ventricle,anatomy,47,Temporal horn of right lateral ventricle,0.9585118284577419
major vascular structures,anatomy,47,Systemic artery,0.7632822397654909
left inferior frontal lobe,anatomy,47,Left frontal lobe,0.9307816140925378
inferior frontal sinuses,anatomy,47,Frontal sinus,0.885951831115181
c7-t1,anatomy,47,Trunk of transverse cervical vein,0.42618791010035784
globus pallidus nuclei,anatomy,46,Nucleus raphe pallidus,0.7590127228341427
right posterior frontal lobe,anatomy,46,Right frontal lobe,0.922978157830674
interpeduncular cistern,anatomy,46,Interpeduncular cistern,0.9900402912795915
left parieto-occipital,anatomy,46,Left parieto-occipital sulcus,0.7828020552712138
anterior horn of the left lateral ventricle,anatomy,46,Frontal horn of left lateral ventricle,0.7998744907387035
odontoid process,anatomy,46,Zone of occipital bone,0.6215938538491713
right frontal parietal,anatomy,46,Right frontal pole,0.8027216481467295
quadrigeminal plate cistern,anatomy,46,Interpeduncular cistern,0.7751612642718431
both basal ganglia,anatomy,45,Hindbrain,0.6235684301913187
frontal calvarium,anatomy,45,Frontal bone,0.7885632393410351
meninges,anatomy,45,White matter of posterior segment of left paracentral lobule,0.8444991978343814
atrium,anatomy,45,Atrium of lateral ventricle,0.6702998490391622
right parietal calvarium,anatomy,45,Right parietal bone,0.8297652450843613
bifrontal extra-axial spaces,anatomy,45,Subfrontal region of epidural space,0.5892927678674267
right supraorbital scalp,anatomy,44,Right parietal zone of scalp,0.732770605658706
cervical,anatomy,44,Craniocervical region,0.7440823142624517
