Entity,IRI
Right stylomandibular ligament,fma.fma57084
Skin of orbital part of face,fma.fma59350
Anterior part of left inferior nasal concha,fma.fma57598
Predorsal bundle,fma.fma72614
Left mastoid foramen,fma.fma56098
Tragus,fma.fma60998
Subdivision of head,fma.fma24218
Subdivision of brachiocephalic vein,fma.fma77883
Muscular branch of inferior labial artery,fma.fma296685
Mucosa of oral segment of palate,fma.fma59765
Mucosa of frontal sinus,fma.fma59774
Retropharyngeal space of head,fma.fma84965
Soft palate,fma.fma55021
Cavernous branch of right internal carotid artery to right trigeminal ganglion,fma.fma49860
Alar part of left nasalis,fma.fma55615
Fat body,fma.fma58616
Brodmann area 23 of cuneus,fma.fma273392
Bony part of left stapes,fma.fma64011
Cortex of right parietal lobe,fma.fma242215
Right lateral inferior limiting sulcus,fma.fma275429
Right collicular artery,fma.fma50666
Parotid recess,fma.fma50666
Left basilar sulcus,fma.fma275475
Superficial fascia of parotid part of face,fma.fma284894
Proximal tendon of deep part of left masseter,fma.fma318841
Proximal lateral striate branch of middle cerebral artery,fma.fma50385
Brodmann area 8 of right medial frontal gyrus,fma.fma273472
Tributary of superficial middle cerebral vein,fma.fma0327009
Ascending pharyngeal artery,fma.fma49497
Gray matter of left posterior orbital gyrus,fma.fma270520
Right posterior communicating artery,fma.fma50085
Alveolodental segment 32,fma.fma289795
Trunk of dorsal scapular vein,fma.fma66693
Integument of left temporal part proper of head,fma.fma317819
Head of antitragicus,fma.fma320900
Cricothyroid artery,fma.fma49483
Right lateral pterygoid,fma.fma49016
Cortex of right lens,fma.fma58974
Superficial fascia of right side of face,fma.fma225810
Right vitreous body,fma.fma58828
External jugular vein,fma.fma13110
Root of right pterygoid process,fma.fma54875
Bony part of lacrimal bone,fma.fma259741
Distal tendon of superficial part of masseter,fma.fma318828
Body of left incus,fma.fma270025
Right lens,fma.fma58242
Habenula,fma.fma62032
Lateral crus of right major alar cartilage,fma.fma59572
Proximal tendon of superficial part of left masseter,fma.fma318823
Vasculature of frontal part of head,fma.fma270063
Anterior limb of left stapes,fma.fma270005
Polar part of right superior frontal gyrus,fma.fma72760
Periosteum of parietal bone,fma.fma234995
Right inferior hypophyseal artery,fma.fma49847
Medial surface of right auricular cartilage,fma.fma61100
Sella turcica,fma.fma54709
Trunk of right eighth anterior intercostal vein,fma.fma78157
Left lingual artery,fma.fma49528
Dorsal median sulcus of medulla oblongata,fma.fma83795
Anterior pontomesencephalic vein,fma.fma323255
Brodmann area 43 of right precentral gyrus,fma.fma271583
Callosal sulcus,fma.fma83743
Lumen of trunk of external carotid artery,fma.fma262119
Right sublingual vein,fma.fma50837
Trunk of branch of external carotid artery,fma.fma72138
Left posterior transverse temporal gyrus,fma.fma72694
Brodmann area 13 of left inferior frontal gyrus,fma.fma271423
Left temporal fossa compartment,fma.fma314586
Vermilion border region of upper lip,fma.fma286142
Brodmann area 6 of left medial frontal gyrus,fma.fma273462
Right paracentral sulcus,fma.fma275339
Gray matter of right precuneus,fma.fma271688
Right superior frontal sulcus,fma.fma275295
Interpeduncular vein,fma.fma51339
Cutaneous branch of transverse facial artery,fma.fma77980
Anterior intercostal vein,fma.fma12831
Right pupil,fma.fma58253
Right side of face,fma.fma54546
Right posterior medial choroidal artery,fma.fma50672
Right deep auricular artery,fma.fma49690
Superficial fascia of left parietal part of head,fma.fma86600
Subdivision of superior systemic venous tree,fma.fma78048
Trunk of tributary of subclavian vein,fma.fma77885
Right anterior clinoid process,fma.fma54694
Nasomaxillary part of face,fma.fma0329052
Ethmoidal process of left inferior nasal concha,fma.fma54744
Trunk of right uncal artery,fma.fma76193
Mucosa of palate,fma.fma289593
Mucosa of left vocal fold,fma.fma64083
Posterior commissure,fma.fma62072
Pallidotegmental fasciculus,fma.fma72458
Right sphenoidal lingula,fma.fma54758
Premarginal recess of Eisler,fma.fma0327411
Right supratragic tubercle,fma.fma228619
Tentorial basal branch of left internal carotid artery,fma.fma70533
Peridental branch of inferior alveolar artery,fma.fma49700
Suprachoroid lamina,fma.fma58368
Left frontal sinus,fma.fma57419
Mandibular gingiva,fma.fma59764
Muscle body of left occipitalis,fma.fma318368
Right middle temporal gyrus,fma.fma72685
Skeletal muscle tissue of right temporoparietalis,fma.fma318384
Left masseter,fma.fma48998
Telodiencephalic fissure,fma.fma83726
Deep part of right submandibular gland,fma.fma59947
Distal lateral striate branch of left middle cerebral artery,fma.fma50390
Vasculature of left maxilla,fma.fma259854
Meningeal space of spinal cord,fma.fma259854
Vasculature of periosteum of zygomatic bone,fma.fma315517
Right zygomatic arch,fma.fma53121
Alveolodental segment 1,fma.fma289733
Major arterial circle of iris,fma.fma58529
Tributary of inferior sagittal sinus from cingulum,fma.fma85137
Left stylomastoid artery,fma.fma49630
Muscle body of superior tarsal muscle,fma.fma318624
Left stapes,fma.fma74049
Musculature of subdivision of mouth,fma.fma289612
Subarachnoid sulcus,fma.fma75759
Cranial sinus space,fma.fma314945
Right inferior temporal sulcus,fma.fma275425
Periosteum of zygomatic bone,fma.fma259823
Right anterior deep temporal artery,fma.fma49747
Left superior transverse frontopolar gyrus,fma.fma274412
Right lateral palpebral commissure,fma.fma59317
Left transverse occipital sulcus,fma.fma275443
Brodmann area 45 of left inferior frontal gyrus,fma.fma271488
Wall of bony part of right pharyngotympanic tube,fma.fma60076
Lumen of nasolacrimal duct,fma.fma59722
Vitreous chamber of eyeball,fma.fma58848
Transverse part of left nasalis,fma.fma55613
Right sublingual gland,fma.fma59804
Systemic arterial tree of female human body,fma.fma269096
Right inferior labial artery,fma.fma49568
Wall of trunk of right posterior spinal artery,fma.fma262421
Superior zone of orbicularis oris,fma.fma46845
Tributary of pterygoid plexus,fma.fma50945
Zone of longitudinal fissure,fma.fma284459
Integument of columella,fma.fma224104
Right mastoid part of head,fma.fma61723
Segment of ventricular system of brain,fma.fma78447
Right ala of vomer,fma.fma57675
Left occipital artery,fma.fma49588
Carotid siphon,fma.fma50109
Trunk of supra-orbital vein,fma.fma316914
Left temporal part of leptomeningeal sac,fma.fma318231
White matter of left medial orbital gyrus,fma.fma270969
Muscle body of right orbitalis,fma.fma318722
Right eleventh anterior intercostal vein,fma.fma71207
Vestibular fold,fma.fma55452
Lateral branch of left superior cerebellar artery,fma.fma50579
Left sphenoidal concha,fma.fma54735
Subdural space of segment of brain,fma.fma0326172
Branch of left anterior choroidal artery to left lateral ventricle,fma.fma50132
Left lateral ventricle,fma.fma78450
Gray matter of right superior frontal gyrus,fma.fma270480
Choroidal branch of posterior inferior cerebellar artery to fourth ventricle,fma.fma50528
First posterior intercostal vein,fma.fma4744
Occipital part of leptomeningeal sac,fma.fma318233
Angular vein,fma.fma50893
Vasculature of endosteum of left lacrimal bone,fma.fma315469
Gray matter of midbrain,fma.fma83913
Middle thyroid vein,fma.fma50823
Brodmann area 9 of left precentral gyrus,fma.fma271732
Left primary motor cortex,fma.fma242635
Right side of upper jaw,fma.fma54553
Mucosa of left side of nasal septum,fma.fma60115
Synovial membrane of articular capsule of left temporomandibular joint,fma.fma57056
Left anterior orbital gyrus,fma.fma256200
Subarchnoid space of occipital region,fma.fma0327216
Zygomaticomaxillary suture,fma.fma52953
Left third upper molar tooth bony socket,fma.fma269689
Occipital diploic vein,fma.fma50789
Pseudostratified ciliated columnar epithelium,fma.fma13146
Left anterior tympanic artery,fma.fma49694
Right lateral lacuna,fma.fma52208
Side of face,fma.fma0326568
Cavity of right conjunctival sac,fma.fma59084
Ventral part of of right lateral occipital gyrus,fma.fma274245
Right infratemporal crest,fma.fma54794
Vasculature of endosteum of right parietal bone,fma.fma315453
Mandibular dental arcade,fma.fma55635
Right anterior superior alveolar artery,fma.fma49772
Right occipitotemporal sulcus,fma.fma275291
Mucosa of retromolar region,fma.fma313912
Articular cartilage of posterior part of zygomatic process of left temporal bone,fma.fma57098
Dentition,fma.fma75150
Medial branch of superior cerebellar artery,fma.fma50580
Anterior cerebellar incisure,fma.fma74524
Left paracentral sulcus,fma.fma275341
Prevertebral part of right vertebral artery,fma.fma50497
Trunk of esophageal vein,fma.fma66701
Vasculature of periosteum of left parietal bone,fma.fma315411
Artery of semilunar ganglion,fma.fma79596
Trunk of left sublingual vein,fma.fma80500
Left ophthalmic artery,fma.fma49870
Glossopharyngeal nerve tract,fma.fma72627
Tentorial basal branch of right internal carotid artery,fma.fma70532
Left angular artery,fma.fma49585
Vasculature of segment of brain,fma.fma268507
Occipital emissary vein,fma.fma50794
Branch of anterior choroidal artery to substantia nigra,fma.fma50125
Head of left stapes,fma.fma270013
Right diagonal sulcus,fma.fma275323
Supra-optic artery,fma.fma50312
Right mandibular part proper of mouth,fma.fma260136
Trunk of left first anterior intercostal vein,fma.fma78172
Skin of left orbital part of face,fma.fma70342
Right orbital part of frontal bone,fma.fma54669
Medial branch of pontine artery,fma.fma50564
Clivus branch of right internal carotid artery,fma.fma50107
Right frontal pole,fma.fma272825
Transverse part of right nasalis,fma.fma55612
Occipital sinus,fma.fma50781
Superior palpebral vein,fma.fma50907
Medullary reticular formation,fma.fma72241
Right superior tarsal muscle,fma.fma49062
Anterior ascending limb of left lateral sulcus,fma.fma275329
Hard palate,fma.fma55023
Trabecular bone of parietal bone,fma.fma235238
White matter of left inferior transverse frontopolar gyrus,fma.fma274461
His' perivascular space,fma.fma274461
Short limb of left incus,fma.fma270033
Pontine tegmentum,fma.fma71108
Tendon of levator palpebrae superioris,fma.fma54158
Integument of temporal part proper of head,fma.fma317815
Trunk of thoracodorsal vein,fma.fma77940
Middle part of external acoustic meatal space,fma.fma242902
Left hyaloid fossa,fma.fma58845
Internal surface of sclera,fma.fma58356
Temporal part proper of head,fma.fma317809
Diploic vein,fma.fma50785
Periosteum of palatine bone,fma.fma259842
Temple region of temporal part of head,fma.fma46450
Thalamic complex,fma.fma258745
Right tensor veli palatini,fma.fma46731
Vorticose vein,fma.fma321534
Cephalic part of right common carotid artery,fma.fma84263
Sebaceous gland,fma.fma59160
White matter of occipital segment of left fusiform gyrus,fma.fma274672
Maxillary alveolar arch,fma.fma313926
Left prefrontal artery,fma.fma50478
Vasculature of periosteum of mandible,fma.fma315441
Right side of hard palate,fma.fma293373
Left cheek proper,fma.fma74600
Superior part of body of left zygomatic bone,fma.fma318866
Orbitobasal segment of left frontal lobe,fma.fma274382
Left auricular part of head,fma.fma58826
Thalamogeniculate artery,fma.fma50629
Organ component gland,fma.fma7146
Skin of dorsum of nose,fma.fma59532
Late mixed dentition,fma.fma0326729
Skin of parietal part of head,fma.fma46500
Integument of infra-orbital part of right cheek,fma.fma224110
Region of lower lip,fma.fma286127
Superficial fascia of left cheek,fma.fma57803
Posterior temporal artery,fma.fma50458
Parieto-occipital branch of pericallosal artery,fma.fma50340
Third anterior intercostal vein,fma.fma4739
Distal tendon of superficial part of right masseter,fma.fma318830
Left occipital branch to scalp,fma.fma79409
Left lateral segment of maxillary alveolodental arch,fma.fma289723
Auricular branch of posterior auricular artery,fma.fma49641
Vasculature of bony part of vomer,fma.fma314838
Left suprameatal spine,fma.fma54963
Branch of posterior auricular artery,fma.fma49627
Integument of right auricular part of head,fma.fma224182
Left nasal cavity,fma.fma276110
Anterior auricular branch of superficial temporal artery,fma.fma49660
Brodmann area 10 of left middle frontal gyrus,fma.fma271437
Anterior deep temporal artery,fma.fma49745
Tributary of inferior petrosal sinus from pons,fma.fma51282
Bony part of left temporal bone,fma.fma314623
Stratified squamous epithelium,fma.fma45563
Integument of chin,fma.fma224152
Isthmus of pharyngotympanic tube,fma.fma60066
Segment of skin of external ear,fma.fma61314
Anterior horizontal limb of right lateral sulcus,fma.fma275331
Trunk of right posterior choroidal artery,fma.fma86130
Left thalamotuberal artery,fma.fma50426
Lacrimal part of left orbicularis oculi,fma.fma46790
Left prefrontal cortex,fma.fma242627
Right anterior lens,fma.fma280171
Vasculature of vestibular part of mouth,fma.fma289606
Mucosa of oral segment of right side of hard palate,fma.fma289681
White matter of cuneus,fma.fma271055
Anterior parolfactory sulcus,fma.fma83744
Axial skeletal system,fma.fma7483
Left trigeminal cave,fma.fma296643
Sphenoidal crest,fma.fma54760
Integument of external ear,fma.fma224074
Vasculature of periosteum of occipital bone,fma.fma315413
Right conjunctiva,fma.fma59012
Palpebral conjunctiva,fma.fma59025
Left half of hypothalamus,fma.fma282281
Subdivision of fourth ventricle,fma.fma268175
Fold of left superior laryngeal nerve,fma.fma55219
Transverse orbital sulcus,fma.fma83771
Left posterior transverse collateral sulcus,fma.fma275542
Cortex of left frontal lobe,fma.fma242209
Muscular branch of left occipital artery,fma.fma49623
Skin of left parietal part of head,fma.fma63878
Trunk of middle thyroid vein,fma.fma66687
Alveolodental segment 30,fma.fma289791
Mucosa of ethmoidal sinus,fma.fma59776
Muscle body of levator palpebrae superioris,fma.fma318618
Left buccal vein,fma.fma312258
Stroma of right ciliary body,fma.fma312263
Left posterior superior alveolar artery,fma.fma49759
Anterior limb of stapes,fma.fma52767
Gray matter of left straight gyrus,fma.fma270502
Superficial fascia of head proper,fma.fma57797
Muscle body of right levator palpebrae superioris,fma.fma318620
Wall of temporal fossa,fma.fma75307
Lamina propria of viscerocranial mucosa,fma.fma225834
Posterior parietal artery,fma.fma50488
Buccal vein,fma.fma312254
Lateral part of left cheek,fma.fma74825
Left buccinator,fma.fma46836
Set of sebaceous glands of upper lip,fma.fma286427
Left frontal lobe,fma.fma72970
Gray matter of left medial orbital gyrus,fma.fma270526
Olfactory sulcus,fma.fma83769
Superficial part of right submandibular gland,fma.fma59949
Left medial frontobasal artery,fma.fma50344
Fronto-orbital sulcus,fma.fma83768
Branch of anterior choroidal artery to hypothalamus,fma.fma50129
Nucleus prepositus,fma.fma72596
Multiform layer of cerebral cortex,fma.fma242333
Transverse sinus,fma.fma50763
Circumorbital muscle,fma.fma73754
Periosteum of left zygomatic bone,fma.fma259827
Left cerebellar vein,fma.fma51229
Left diagonal sulcus,fma.fma275325
Vasculature of endosteum of zygomatic bone,fma.fma315499
Mucosa of left stapes,fma.fma302787
Third ventricle,fma.fma78454
Distal zone of nasalis,fma.fma320116
Branch of basilar artery,fma.fma76269
Superficial fascia of forehead,fma.fma57798
Muscle body of auricularis superior,fma.fma318522
Right anterior tympanic artery,fma.fma49693
Segment of common carotid artery,fma.fma84259
Right precuneus,fma.fma72673
Bony part of right nasal bone,fma.fma259405
Body of incus,fma.fma52763
Left thalamogeniculate artery,fma.fma50671
Right external naris,fma.fma59646
Integument of root of nose,fma.fma224092
Gray matter of left anterior orbital gyrus,fma.fma270514
Neural network of ethmoid bone,fma.fma314905
Medial branch of right superior cerebellar artery,fma.fma50581
Subdural space of cervical segment of spinal cord,fma.fma0323734
Subdivision of cheek,fma.fma60964
Right emissary sphenoidal foramen,fma.fma54786
Integument of left cheek,fma.fma224072
Opercular part of inferior frontal gyrus,fma.fma61981
Subparietal sulcus,fma.fma83777
Left transverse sinus,fma.fma50765
Lingual artery,fma.fma49526
Lambdoid articular part of occipital bone,fma.fma235021
Superior ligament of right pinna,fma.fma61041
Occipitotemporal branch of medial occipital artery,fma.fma50656
Mucosa of soft palate,fma.fma59784
Atrium of right lateral ventricle,fma.fma242380
Subarachnoid space,fma.fma83716
Integument of mandibular part of mouth,fma.fma224142
Right lacrimal bone,fma.fma53645
Left temporal part proper of head,fma.fma317813
Left common modiolar vein,fma.fma52413
Retromolar region,fma.fma292363
Brodmann area 8 of left superior frontal gyrus,fma.fma271858
Ventrolateral sulcus of spinal cord,fma.fma79877
Parotid branch of superficial temporal artery,fma.fma49654
Wall of cartilaginous part of right pharyngotympanic tube,fma.fma60074
Branch of facial artery,fma.fma49552
Cavity of mouth,fma.fma20292
Left posterior temporal diploic vein,fma.fma52111
Right side of lower lip,fma.fma236978
Right orbital cavity,fma.fma84962
Trunk of tributary of accessory hemiazygos vein,fma.fma78037
Periosteum of hyoid bone,fma.fma259927
Trunk of meningeal branch of vertebral artery,fma.fma302135
Right marginal sulcus,fma.fma275249
Left lateral wall of nasopharynx,fma.fma54912
Right lacrimal lake,fma.fma59541
Neural network of left inferior nasal concha,fma.fma314935
Tributary of left inferior petrosal sinus from inferior cerebellum,fma.fma52482
Right posterior orbital gyrus,fma.fma80187
Trunk of articular tributary of right pterygoid plexus,fma.fma78199
Base of modiolus of right labial part of mouth,fma.fma319427
Arachnoid granulation,fma.fma83978
Gray matter of right lateral orbital gyrus,fma.fma270530
Trunk of left common carotid artery,fma.fma69326
Integument of subdivision of cheek,fma.fma224106
Integument of frontal part of head,fma.fma224186
Occipital lobe,fma.fma67325
Gray matter of middle frontal gyrus,fma.fma270486
Vagal nerve tract,fma.fma72628
Bony part of malleus,fma.fma63997
Cymba conchae of pinna,fma.fma61082
Vascular lamina of left choroid,fma.fma58440
Neural network of subdivision of head proper,fma.fma270091
Musculature of left side of face,fma.fma228625
Left parietal tuber,fma.fma57082
Right transverse facial artery,fma.fma49658
Cavernous branch of right internal carotid artery,fma.fma49822
Crista galli proper,fma.fma57447
Endosteum of left palatine bone,fma.fma315029
Fascia of occipitalis,fma.fma319353
Minor circulus arteriosus of left iris,fma.fma58585
Conjunctival ring,fma.fma58345
Branch of superior thyroid artery,fma.fma66316
Right superior temporal gyrus,fma.fma72683
Integument of infra-orbital part of cheek,fma.fma224108
Wall of eyeball,fma.fma58098
Peduncular branch of right posterior cerebral artery,fma.fma50676
Skin of occipital part of head,fma.fma59348
Right lateral sulcus,fma.fma275279
White matter of occipital lobe,fma.fma256188
Orbital part of right inferior frontal gyrus,fma.fma72754
Left side of lower jaw,fma.fma54556
Integument of right eye,fma.fma270157
Superior rostral sulcus,fma.fma83766
Trunk of left fifth anterior intercostal vein,fma.fma78164
Zone of frontal bone,fma.fma52847
Tributary of inferior sagittal sinus,fma.fma52212
Left cerebral hemisphere segment of dura mater,fma.fma266060
White matter of right middle temporal gyrus,fma.fma271003
Segment of fusiform gyrus,fma.fma280525
Tributary of vein of cochlear aqueduct,fma.fma52410
Superolateral segment of left frontal lobe,fma.fma274364
Proximal tendon of occipitalis,fma.fma319502
Sphenoidal process of right palatine bone,fma.fma59217
Vasculature of left cheek proper,fma.fma314190
Vasculature of bony part of left maxilla,fma.fma314822
Precentral gyrus,fma.fma61894
Right ramus proper of mandible,fma.fma53662
Left anterior clinoid process,fma.fma54695
Posterior part of superior frontal gyrus,fma.fma70684
Pontomesencephalic vein,fma.fma51336
Trunk of seventh anterior intercostal vein,fma.fma78146
Integument of right temporal part proper of head,fma.fma317817
Left dorsolateral prefrontal cortex,fma.fma276193
Right buccal part of vestibule of mouth,fma.fma289322
Cavity of third ventricle,fma.fma242751
Temporo-occipital branch of middle cerebral artery,fma.fma50472
Skin of right side of mandibular part of mouth,fma.fma24778
Right lateral half of face,fma.fma0326174
Costo-axillary vein,fma.fma78242
Spinal branch of left vertebral artery,fma.fma50508
Trunk of left musculophrenic vein,fma.fma78135
Right nasal sill,fma.fma313009
Right prefrontal artery,fma.fma50445
Vasculature of bony part of left nasal bone,fma.fma314828
Circumflex scapular vein,fma.fma77498
Wall of laryngopharynx,fma.fma55036
Bulbar conjunctiva,fma.fma59024
Trunk of inferior palpebral vein,fma.fma316933
Right posterior lateral nasal artery,fma.fma49810
Vascular lamina of right choroid,fma.fma58439
Zone of ethmoid,fma.fma52889
Choroid plexus of third ventricle,fma.fma78462
Lacrimal canaliculus,fma.fma58245
Left marginal sulcus,fma.fma275251
White matter of left cerebral hemisphere,fma.fma260794
Posterior part of zygomatic process of right temporal bone,fma.fma55420
Trunk of right tympanic vein,fma.fma78202
Trunk of right anterior spinal artery,fma.fma302119
Clivus branch of left internal carotid artery,fma.fma50108
Mucosa of external nose,fma.fma59685
Right fourth anterior intercostal vein,fma.fma4778
Right posterior choroidal artery,fma.fma50658
Right lateral occipital artery,fma.fma50643
Right temporal lobe,fma.fma72971
Posterior septal branch of right sphenopalatine artery,fma.fma49812
Cervical part of internal carotid artery,fma.fma49815
Left internal jugular vein,fma.fma4762
Left second upper molar tooth bony socket,fma.fma269686
Trunk of suprascapular vein,fma.fma77933
Superior bulb of right internal jugular vein,fma.fma50816
Vascular lamina of choroid,fma.fma58435
Vasculature of infraorbital part of cheek,fma.fma314194
Right temporal bone,fma.fma52738
Region of labial part of mouth,fma.fma286121
Left zygomatic arch,fma.fma53122
Petrous part proper of right temporal bone,fma.fma55427
Lateral medullary reticular complex,fma.fma72573
Neuroglial network of brain,fma.fma267200
Set of mucous glands of upper lip,fma.fma286446
Esophageal tributary of accessory hemiazygos vein,fma.fma14389
Lumen of trunk of internal carotid artery,fma.fma262080
Left precuneus,fma.fma72674
Nonkeratinizing stratified squamous epithelium,fma.fma45569
Mandibular alveolar mucosa,fma.fma313962
Head of right stapes,fma.fma270011
Medulla oblongata,fma.fma62004
Nasal cartilage,fma.fma59502
Temporal bone,fma.fma52737
Root of left pterygoid process,fma.fma54876
Inferior terminal branch of right middle cerebral artery,fma.fma50716
Bony part of left malleus,fma.fma315255
Sphenoidal process of palatine bone,fma.fma59146
Lemniscus of neuraxis,fma.fma83676
Right ophthalmic artery,fma.fma49869
Skin of left cheek,fma.fma52914
Head of left malleus,fma.fma270017
Neural network of upper lip,fma.fma286282
Left lateral frontobasal artery,fma.fma50444
Branch of occipital branch of posterior auricular artery,fma.fma79400
Inferior pharyngeal constrictor branch of right superior thyroid artery,fma.fma79203
Cervical part of common carotid artery,fma.fma52483
Left lacrimal hamulus,fma.fma57608
Subarachnoid fissure,fma.fma75136
Left mandibular part proper of mouth,fma.fma260138
Vasculature of bony part of zygomatic bone,fma.fma314846
Wall of isthmus of left pharyngotympanic tube,fma.fma60090
Gray matter of temporal segment of right fusiform gyrus,fma.fma274875
Posterior transverse collateral sulcus,fma.fma275538
Skin of right mandibular angle part of mouth,fma.fma224387
Vasculature of bony part of left inferior nasal concha,fma.fma314862
Trunk of esophageal tributary of left inferior thyroid vein,fma.fma78127
Frontal diploic vein,fma.fma50786
Trigeminal cave,fma.fma296638
Inferior wall of external acoustic tube,fma.fma224377
Cornea,fma.fma58238
Gray matter of left precuneus,fma.fma271690
Branch of right anterior choroidal artery to right tuber cinereum,fma.fma50158
Humor of right vitreous body,fma.fma261236
Trunk of branch of vertebral artery,fma.fma302097
Mucosa of upper lip,fma.fma59832
Mastoid part of petrous part of left temporal bone,fma.fma56090
Posterior intercavernous sinus,fma.fma50775
Superficial fascia of occipital part of head,fma.fma86601
Set of eyes,fma.fma268861
Left side of maxillary alveolar arch,fma.fma313931
Basilar sulcus,fma.fma83794
Left superior temporal sulcus,fma.fma275423
Frontal process of right zygomatic bone,fma.fma52908
Integument of head proper,fma.fma224060
Right middle frontal gyrus,fma.fma72655
Transverse muscle of left auricle,fma.fma48985
Secondary dentition,fma.fma75152
Lumen of trunk of right posterior spinal artery,fma.fma262417
Left posterior lens,fma.fma280179
Bony part of left lacrimal bone,fma.fma259745
Right straight gyrus,fma.fma72659
Gray matter of right middle transverse frontopolar gyrus,fma.fma274442
Parietal lobe sulcus,fma.fma0327489
Prevertebral branch of left ascending pharyngeal artery,fma.fma79216
Occipital branch of left occipital artery,fma.fma49607
Vasculature of region of mouth,fma.fma286268
Left supra-optic artery,fma.fma50318
Left sigmoid sinus,fma.fma51294
Iridial part of right retina,fma.fma58612
Left anterior vestibular artery,fma.fma52241
Intraculminate fissure of cerebellum,fma.fma83737
Amacrine cell,fma.fma67766
Temple region of right temporal part of head,fma.fma53639
Mucosa of right stapes,fma.fma302785
Left optic nerve,fma.fma50878
White matter of left straight gyrus,fma.fma270953
Left ala of vomer,fma.fma57676
Neural network of right zygomatic bone,fma.fma314921
Cistern of lamina terminalis,fma.fma74516
Tributary of cavernous sinus,fma.fma51244
Vestibulocochlear vein,fma.fma52414
Roof of right orbit,fma.fma53084
External ear,fma.fma52781
Postcommunicating part of left posterior cerebral artery,fma.fma50642
Superior segment of left lingual gyrus,fma.fma274620
Wall of trunk of right common carotid artery,fma.fma262449
Deep layer of right levator palpebrae superioris,fma.fma49141
Spinal nucleus of trigeminal nerve,fma.fma54565
Distal zone of auricularis superior,fma.fma320868
Transverse pontine vein,fma.fma51348
Lateral wall of external nose,fma.fma0326584
Levator veli palatini branch of left ascending palatine artery,fma.fma79236
Stroma of right iris,fma.fma58527
Caudal segment of medulla oblongata,fma.fma258700
Lumen of trunk of left posterior inferior cerebellar artery,fma.fma262413
Left posterior parietal artery,fma.fma50490
Perpendicular plate proper of left palatine bone,fma.fma59173
Cavity of right lateral ventricle,fma.fma242685
White matter of right middle frontal gyrus,fma.fma270943
Subdural space of frontal region,fma.fma0325908
Isthmus segment of cartilaginous part of right pharyngotympanic tube,fma.fma285311
Trunk of left third anterior intercostal vein,fma.fma78168
Left ascending palatine artery,fma.fma49557
Proximal tendon of right temporoparietalis,fma.fma319516
Vein of semicircular duct,fma.fma52407
Right mammillary artery,fma.fma50449
Systemic artery,fma.fma66464
Suspensory ligament of right lens,fma.fma58839
Left zygomaticomaxillary suture,fma.fma53020
Right parietal wall of head proper,fma.fma320503
Trunk of right sublingual vein,fma.fma80499
Secondary tympanic membrane,fma.fma56958
Right primary motor cortex,fma.fma242632
Transverse cervical vein,fma.fma50858
Left sphenoidal sinus,fma.fma54708
Integument of temple,fma.fma320476
Vein of cochlear aqueduct,fma.fma50842
Stylomandibular ligament,fma.fma57083
Periosteum of left temporal bone,fma.fma314871
Trunk of superior thyroid vein,fma.fma66684
Vasculature of bony part of left palatine bone,fma.fma314844
Ciliary part of right retina,fma.fma58614
Left posterior inferior cerebellar artery,fma.fma50520
Right orbital cavity proper,fma.fma0329313
Posterior nasal aperture,fma.fma53143
Distal zone of antitragicus,fma.fma320906
Endosteum of right zygomatic bone,fma.fma315010
Left subclavian artery,fma.fma4694
Gray matter of right middle temporal gyrus,fma.fma270554
Right temporomandibular joint,fma.fma54833
Endosteum of parietal bone,fma.fma234127
Neural network of eye,fma.fma270119
Right occipital lobe,fma.fma72975
Set of right accessory visual structures,fma.fma302814
Vermilion complex,fma.fma286305
Vasculature of mandibular arch,fma.fma289691
Lambdoid suture,fma.fma52933
Left medial palpebral artery,fma.fma50014
Tubercle of pinna,fma.fma61151
Left vestibular fold,fma.fma55456
Vasculature of bony part of left parietal bone,fma.fma314808
Wall of trunk of left posterior spinal artery,fma.fma262423
Anteromedian pontine vein,fma.fma51346
Right main nasal cavity,fma.fma276120
White matter of right inferior frontal gyrus,fma.fma270955
Zone of orbicularis oculi,fma.fma46780
Horizontal fissure of cerebellum,fma.fma75135
Medial branch of left pontine artery,fma.fma50567
Left lacrimal gland,fma.fma59103
Accessory vertebral vein,fma.fma14290
Basal part of petrous part proper of left temporal bone,fma.fma56006
White matter of right anterior transverse temporal gyrus,fma.fma271015
Left inferior postcentral sulcus,fma.fma275395
Proximal myotendinous region of head of deep part of masseter,fma.fma319309
Left middle temporal gyrus,fma.fma72686
Prelaminar part of intra-ocular part of left optic nerve,fma.fma58717
Trunk of right third anterior intercostal vein,fma.fma78167
Brodmann area 6 of right superior frontal gyrus,fma.fma271874
Lumen of isthmus of left pharyngotympanic tube,fma.fma60093
Antihelical part of auricular cartilage,fma.fma61344
Tributary of supra-orbital vein,fma.fma52129
Medullary cavity of left palatine bone,fma.fma314778
Cavity of right eyeball,fma.fma58247
Parietal part of aponeurosis of epicranius,fma.fma320459
Neural tissue of segment of brain,fma.fma268523
Left medial palpebral commissure,fma.fma59320
Medial occipitotemporal gyrus,fma.fma275191
Inferior bulb of internal jugular vein,fma.fma50807
Distal zone of left nasalis,fma.fma320120
Right internal carotid artery,fma.fma3949
Belly of right superior tarsal muscle,fma.fma320053
Inferior thalamostriate vein,fma.fma51319
Early mixed dentition,fma.fma0326730
Mental part proper of base of mandible,fma.fma60963
Right deep cervical vein,fma.fma4760
Branch of subclavian artery,fma.fma70345
Lateral half of external nose,fma.fma321756
